entry_type,source_file,sheet_name,variable_name,readable_name,definition,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
source_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",Before Index (Mean),Baseline mean,Pre-CPAP baseline mean for the sheet-specific metric,numeric,sheet_specific,numeric,not_applicable,blank or missing possible,EHR-derived workbook,Used by get_baseline_row and before_after_diff,must be numeric where present,Window definition should be checked against source workbook,needs_review
source_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",6 Months After (Mean),Six-month post-index mean,Six-month post-index mean present in workbook but excluded from default complete-data analysis,numeric,sheet_specific,numeric,not_applicable,blank or missing possible,EHR-derived workbook,Returns missing in default post/difference functions,must be numeric where present,Retained for historical alternative analysis comments,needs_review
source_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",12 Months After (Mean),Twelve-month post-index mean,Primary post-CPAP mean used in the default analysis,numeric,sheet_specific,numeric,not_applicable,blank or missing possible,EHR-derived workbook,Used by get_post_row and before_after_diff,must be numeric where present,Represents the 9-15 month window per script comments,needs_review
source_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",18 Months After (Mean),Eighteen-month post-index mean,Eighteen-month post-index mean present in workbook but excluded from default complete-data analysis,numeric,sheet_specific,numeric,not_applicable,blank or missing possible,EHR-derived workbook,Returns missing in default post/difference functions,must be numeric where present,Retained for historical alternative analysis comments,needs_review
derived_variable,all_expected_workbooks,Population,cpap_tracking_goal_status,CPAP tracking goal status,Indicator for meeting machine AHI and use targets,derived categorical,not_applicable,"at_goal|not_at_goal","at_goal = MACHINE_AHI_AFTER < 5 and AHI_AFTER_AVERAGE_HRS > 4 | not_at_goal = otherwise",missing if source values missing,CPAPOutcomeStats.py,stratify_by_goals rule,must match source variables,Operational rule from code comments,needs_review
derived_variable,all_expected_workbooks,Population,osa_severity,OSA severity,OSA severity category derived from diagnostic AHI,derived categorical,not_applicable,"mild|moderate|severe","mild = DIAGNOSTIC_AHI_BEFORE < 15 | moderate = DIAGNOSTIC_AHI_BEFORE < 30 | severe = DIAGNOSTIC_AHI_BEFORE >= 30",missing if DIAGNOSTIC_AHI_BEFORE missing,CPAPOutcomeStats.py,clasify_osa_severity rule,must be one of allowed categories or missing,Function name misspelling retained in legacy code,needs_review
derived_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",metric_baseline,Baseline metric value,Default baseline value returned when baseline and primary post values are available,derived numeric,sheet_specific,numeric,not_applicable,missing if incomplete,CPAPOutcomeStats.py,get_baseline_row rule,must be numeric or missing,Uses complete-data rule by default,needs_review
derived_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",metric_post,Post metric value,Default post value at 12 months after index when baseline is present,derived numeric,sheet_specific,numeric,not_applicable,missing if incomplete,CPAPOutcomeStats.py,get_post_row rule,must be numeric or missing,6- and 18-month alternatives are not used by default,needs_review
derived_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",metric_pre_post_difference,Pre/post metric difference,Difference calculated as 12 Months After (Mean) minus Before Index (Mean),derived numeric,sheet_specific,numeric,not_applicable,missing if 12-month post value absent,CPAPOutcomeStats.py,before_after_diff rule,must be numeric or missing,Negative values generally indicate decreases after CPAP initiation,needs_review
derived_variable,all_expected_workbooks,"Systolic|Diastolic|SP02|BMI|CREAT|HBA1C",complete_data,Complete data indicator,Indicator for participant rows with both default baseline and post values present,derived binary,not_applicable,"0|1","0 = incomplete | 1 = complete",not_applicable,CPAPOutcomeStats.py,has_complete_data rule,must be 0 or 1,Created in memory during split_by_missing_data,needs_review
output,outputs/python,not_applicable,output.txt,Aggregate text output,Console-style aggregate severity distributions and statistical comparisons,text file,not_applicable,not_applicable,not_applicable,not_applicable,CPAPOutcomeStats.py,stdout copied to output text file,review before sharing,Historical root output is retained as aggregate artifact,complete
output,outputs/python,not_applicable,combined difference histos.png,Combined difference histogram figure,Aggregate figure showing distributions of pre/post differences across metrics,image file,not_applicable,not_applicable,not_applicable,not_applicable,CPAPOutcomeStats.py,matplotlib savefig output,review before sharing,Historical root PNG is retained as aggregate artifact,complete
output,outputs/python,not_applicable,PAT_IDs of goal or not.xlsx,Patient ID split workbook,Restricted workbook listing participant IDs by goal status,Excel workbook,not_applicable,not_applicable,not_applicable,not_documented,CPAPOutcomeStats.py,stratify_by_goals output,do not publish,row-level restricted output,needs_review
output,outputs/python,not_applicable,Full (minus UARS) meeting goals.xlsx,At-goal split workbook,Restricted row-level workbook for at-goal participants,Excel workbook,not_applicable,not_applicable,not_applicable,not_documented,CPAPOutcomeStats.py,stratify_by_goals output,do not publish,row-level restricted output,needs_review
output,outputs/python,not_applicable,Full (minus UARS) not meeting goals.xlsx,Not-at-goal split workbook,Restricted row-level workbook for not-at-goal participants,Excel workbook,not_applicable,not_applicable,not_applicable,not_documented,CPAPOutcomeStats.py,stratify_by_goals output,do not publish,row-level restricted output,needs_review
